epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,6143.28,1.76868,1.62492,1.92047,0.67706,0.48807,0.58614,0.33312,1.62778,1.51998,1.86902,0.000713,0.000713,0.000713
132,6189.26,1.71266,1.58155,1.89256,0.75716,0.54349,0.63539,0.3671,1.55378,1.41571,1.81128,0.0007031,0.0007031,0.0007031
133,6235.31,1.68209,1.60094,1.89715,0.73633,0.54128,0.63473,0.3662,1.55508,1.42149,1.81207,0.0006932,0.0006932,0.0006932
134,6281.57,1.66845,1.55243,1.84022,0.71431,0.5156,0.62345,0.34724,1.61684,1.4446,1.85085,0.0006833,0.0006833,0.0006833
135,6327.7,1.69097,1.53728,1.8507,0.79188,0.48991,0.63262,0.37306,1.54701,1.37725,1.78638,0.0006734,0.0006734,0.0006734
136,6373.93,1.66388,1.511,1.89183,0.67191,0.54495,0.63198,0.36312,1.54633,1.44571,1.78976,0.0006635,0.0006635,0.0006635
137,6420.2,1.67594,1.5209,1.85873,0.64754,0.52844,0.61572,0.35357,1.56099,1.47789,1.80901,0.0006536,0.0006536,0.0006536
138,6466.57,1.65949,1.5372,1.8423,0.71943,0.53165,0.64514,0.37579,1.53692,1.35103,1.78345,0.0006437,0.0006437,0.0006437
139,6512.88,1.66491,1.49992,1.89828,0.72933,0.53761,0.64728,0.37534,1.53848,1.35444,1.78907,0.0006338,0.0006338,0.0006338
140,6559.44,1.63753,1.52005,1.83201,0.68028,0.54658,0.61811,0.35119,1.58775,1.46756,1.83914,0.0006239,0.0006239,0.0006239
141,6606.42,1.6112,1.52867,1.8403,0.7378,0.55245,0.64986,0.38166,1.54818,1.33108,1.7875,0.000614,0.000614,0.000614
142,6652.9,1.62705,1.47814,1.81286,0.72421,0.52844,0.64158,0.37847,1.5437,1.32544,1.7926,0.0006041,0.0006041,0.0006041
143,6699.21,1.69525,1.53096,1.8581,0.71204,0.53578,0.63109,0.37485,1.535,1.36658,1.77739,0.0005942,0.0005942,0.0005942
144,6745.62,1.69763,1.51502,1.84737,0.72081,0.55596,0.6617,0.38233,1.55196,1.31579,1.76822,0.0005843,0.0005843,0.0005843
145,6792.27,1.66485,1.51147,1.82906,0.72548,0.58349,0.66548,0.38624,1.51381,1.3114,1.7642,0.0005744,0.0005744,0.0005744
146,6838.58,1.63922,1.52201,1.828,0.76003,0.55046,0.66686,0.41082,1.44725,1.27524,1.72565,0.0005645,0.0005645,0.0005645
147,6884.74,1.63308,1.50288,1.80061,0.75275,0.55302,0.67116,0.40746,1.45837,1.2765,1.73176,0.0005546,0.0005546,0.0005546
148,6930.91,1.64584,1.46739,1.80435,0.70269,0.56697,0.6539,0.37219,1.58199,1.33895,1.81833,0.0005447,0.0005447,0.0005447
149,6976.95,1.65361,1.45815,1.83536,0.79013,0.55413,0.67708,0.40797,1.5079,1.28196,1.76562,0.0005348,0.0005348,0.0005348
150,7023.14,1.6097,1.45784,1.7888,0.7343,0.58532,0.67854,0.40619,1.47499,1.26452,1.73917,0.0005249,0.0005249,0.0005249
151,7069.25,1.66086,1.506,1.85019,0.75952,0.54495,0.66648,0.39967,1.48068,1.28628,1.74239,0.000515,0.000515,0.000515
152,7115.57,1.6206,1.49783,1.79302,0.78111,0.59585,0.69344,0.42745,1.43681,1.25963,1.70476,0.0005051,0.0005051,0.0005051
153,7161.8,1.5681,1.40963,1.78487,0.79817,0.58349,0.69293,0.42701,1.4331,1.27377,1.69826,0.0004952,0.0004952,0.0004952
154,7208.05,1.64361,1.44591,1.81503,0.78379,0.57248,0.68714,0.3963,1.51345,1.29961,1.76085,0.0004853,0.0004853,0.0004853
